sentence,model_output
"Spatial DBMS: 
Geographic information system that organizes and maintains spatial 
data (i.e.",Spatial data organizer.
"Supports queries of spatial 
data where the selection criteria are defined by spatial attributes.",Looks at spatial data.
"SRI:
A Standing Request For Information (SRI) is a capability in which CASS monitors for the occurrence of conditions established by an application program, and notifies the calling or establishing application program when the conditions are satisfied.",CASS watches for certain things and tells the program that asked it to watch if those things happen.
"Subject: 
An active entity, generally in the form of a person, process, or device that causes information to flow among objects or changes the system state.",Something makes things happen and share information.
"Transaction Journalling:
 Individual messages or database transactions are stored in a journal file, 
which may be a linear 
log file or a circular file.",Transactions are written to a log file.
"Although XML is a relatively new 
technology, many developers are already using XML in operational COE 
systems and have already created tags and specifications, many of which 
may be inconsistent with tags used in other systems.",XML is new but some developers use it already.
"To ensure interoperability, this registry provides a baseline 
set of tags developed through coordination and approval among the Community.",This registry helps different groups work together by using agreed-upon names.
"The Registry allows a user to browse, search, and retrieve data that satisfy your 
requirements.",Registry lets you find what you need.
"The Registry has a substring search capability so that the user may 
easily find information resources that meet the criteria.",The Registry finds what you need.
"The user may specify whether 
to search for the term within 
the name of the information resource or the definition or both.",Search in name or definition or both.
"Developers are urged to review the baseline tags, adopt 
them where possible, and subscribe to future notifications about the tags.",Review and use baseline tags.
"Document Type Definition (DTD)) or existing tags, you may submit your 
proposed tag to a Community of Interest (COI) and provide amplifying information 
for all to understand the semantics for its proper use.",Submit proposed tag with explanation to COI.
"The COE Chief Engineer will approve a single Point of Contact (POC) 
for a COI to manage the tags within that COI.",The engineer will choose one person to handle tags for a certain group.
"Tags and semantics will be analyzed to identify opportunities 
to consolidate tags towards a single or a minimal number of representations.",We'll analyze tags and meanings to find ways to combine them into fewer forms.
Review Tags in Registry and decide what additions/modifications to submit (if any),Check registry tags and make changes if needed.
Fill out one XML submission document to package multiple Tags,Fill out one form for many tags.
"If the term is well recognized outside its container term, designate 
it as an element.","If it's known outside, call it an element."
"It would be expected that a submitter 
would identify them as attributes rather than elements.",Submitter should say they are attributes not elements.
"But if they were identified as 
attributes of the element ctry, then the additional baggage (other attributes) must be 
carried, or submitted as separate elements.","If they are identified as ctry's attributes, other things must be carried separately."
"We wish to limit the proliferation of tags, 
so we strongly urge folks to use XML_Attributes sparingly.",Limit tag use.
"Therefore, we urge submitters to include enough expressive terms so that COE developers 
would easily find the term they might consider ""natural"" in the definition and find the 
desirable tag for expressing that concept.",Include clear words so developers can easily find what they mean.
"Example: If the 
registered tag is ORG_ID, the description that includes references","If ORG_ID, include references."
"At this time such detailed information is 
unavailable.The COE components identified to-date are listed below.",No information available yet. Listed below are what we have so far.
"This TACTICAL CONTROL SYSTEM (TCS) - SYSTEM / SUBSYSTEM SPECIFICATION (SSS) -
VERSION 1.0 identifies, specifies, and establishes the detailed system requirements for the Tactical
Control System as set forth by the OPERATIONAL REQUIREMENTS DOCUMENT FOR THE
UNMANNED AERIAL VEHICLE (UAV) TACTICAL CONTROL SYSTEM (TCS) - VERSION 5.0.",This document says what the tactical control system needs to do.
The SSS further specifies the methods to be used to ensure that each requirement has been met.,The SSS says how to make sure requirements are met.
"Requirements pertaining to the TCS external interfaces are covered in separate Interface Design
Descriptions (IDDs) to be published.",TCS external interfaces have their own descriptions that will be published.
"The SSS is published IAW DID DI-IPSC-81431, dated 941205.",The SSS is published according to a certain document from 1994.
"The purpose of the TCS is to provide the military services with a single command, control, data receipt,
data processing, data export and dissemination system that is interoperable with the family of all present
and future tactical unmanned aerial vehicles.",The TCS helps the military use one system for controlling drones.
"These UAVs shall include the Tactical Unmanned Aerial
Vehicle (TUAV) and the Medium Altitude and Endurance (MAE) UAV (henceforth referred to as Outrider
and Predator respectively), their associated payloads, and other network communication systems.",UAVs will include TUAV and MAE with their parts and communication systems.
"Phase 1 will be a 24
month period and will demonstrate Level 1 through Level 5 interaction (as defined below) in an Incremental
and Evolutionary strategy as described in accordance with MIL-STD-498.","Phase 1 is 24 months long, showing how to interact at levels 1 to 5."
"The five discrete levels of
multiple UAV interaction to be provided by the TCS are:",Five levels for drone communication.
"Although developed as a total package, the TCS will be scaleable to
meet the user's requirements for deployment.",The TCS can grow to fit what users need.
"TCS will provide a common Human-Computer Interface
(HCI) for tactical airborne platforms to simplify user operations, training, and facilitate seamless
integration into the Services’ joint C4I infrastructure across all levels of interaction.",TCS gives one way to use computers on planes that makes it easy to work with them.
"The software
will provide a high resolution computer generated graphical user interface that enables a UAV operator
trained on one system to control different types of UAVs or UAV payloads with a minimum of additional
training.",The software will help operators control different drones easily.
"The TCS will operate in an open architecture and be capable of being hosted on computers that
are typically supported by the using Service.",TCS works on any computer used by its owner.
"Software developed will be Defense Information
Infrastructure / Common Operating Environment (DII/COE) compliant, non-proprietary, and the
architectural standard for all future tactical UAVs.","Software will be made to work with DII/COE, not belong to one company, and be a standard for new drones."
"To the extent possible, the TCS will use standard
Department of Defense (DoD) software components to achieve commonality.",TCS uses DoD software for common things.
"The
individual armed services will identify TCS computing hardware, the desired level of TCS functionality,
the battlefield C4I connectivity, and the particular type of air vehicle and payloads to be operated
depending upon the deployment concept and area of operations.",The military will decide what computers they need and how they will connect to each other based on where they are going.
"TCS hardware must be scaleable or
modular to meet varying Service needs.",TCS hardware must be able to grow or break apart.
"TCS hardware will permit long range communications from one
TCS to another, data storage expansion, access to other computers to share in processing capability, and
multiple external peripherals.","TCS hardware lets different TCS units talk far away, store more data, connect to other computers, and use many devices."
"TCS integration with C4I systems will be accomplished through development of interfaces that permit
information exchange between the TCS and specified C4I systems.",TCS connects to C4I systems by making interfaces for sharing information.
Defense Information Infrastructure (DII) / Common Operating Environment (COE),Defense computer system.
Common Imagery Ground/Surface System (CIGSS) Handbook,Computer Picture Book Guide
Only documents that are directly referred to in this document are included in the document lists.,Only listed documents are included.
"TCS to Guardrail Common Sensor/Aerial Common Sensor (ACS) Integrated Processing Facility (IPF) IDD, TCS 215",TCS goes to a special place for sensors and computers.
"TCS to TROJAN Special Purpose Integrated Remote Intelligence Terminal (SPIRIT) II IDD, TCS 213",TCS goes to SPIRIT II.
TCS to Intercom IDD - TCS 253,TCS calls Intercom.
"The TCS system will be capable of controlling the Predator and Outrider AVs with a single control system,
using existing military services standard hardware and software, and supporting interfaces with various
C4I systems.",TCS controls Predator and Outrider robots using standard military equipment.
"The primary function of the TCS is to provide command and control of the payload, Air Vehicle (AV), data
link, and other necessary support equipment in order to employ tactical UAVs to conduct reconnaissance,
surveillance, target acquisition, and target identification missions.",The main job of the TCS is to control the payload and other things needed for drones to gather information and find targets.
"The operational capabilities to be performed by the system will be determined by task analysis in
accordance with MIL STD 1388 Task 401 as a guide based on a thorough understanding of Outrider and
Predator mission requirements.",The system's abilities will be decided by studying tasks according to a standard guide.
"The initial TCS task analysis will produce a system baseline which will be optimized by
engineering analysis and operator evaluations.",The first step makes a basic plan that gets better with more study and testing.
"The TCS shall meet the applicable capability and characteristic criteria established by the Operational
Requirements Document (ORD) CAF 003-90-I-A for the RQ-1A Predator Medium Altitude Endurance
Unmanned Aerial Vehicle/System (MAE UAV) and the Close Range – Tactical Unmanned Aerial Vehicle
(CR-TUAV).",The TCS meets the requirements in a document for a special kind of drone.
Level 1: receipt and transmission of secondary imagery and/or [as well as] data,Get secondary pictures and data.
Level 2: direct receipt of imagery and/or [as well as] data,Get images and data directly.
"[SSS017]
Figure 3.1.1-1 shows the modes that exist in the Startup State

The TCS will execute the particular startup mode which corresponds with the manner in which the TCS
Software was halted.",The picture shows startup modes. The TCS does what it was doing when it stopped working.
"When the TCS Software is terminated normally the TCS shall enter the Normal Startup Mode of operation
upon application of power.",TCS enters normal mode when powered on.
"[SSS019]
When the TCS software is halted due to an unplanned power interruption as well as abnormal program
termination, then the TCS shall enter the Recovery Startup Mode upon application of power.","Power off or program stops, TCS starts recovery mode when power comes back on."
"[SSS020]
During startup, the TCS shall determine which of the 5 levels of interaction are achievable by the TCS
configuration.",The TCS determines what it can do during startup.
"[SSS022]
The TCS shall inform the operator if the operator attempts to execute a function prohibited as a result of
the determined level of interaction.",TCS tells operator if they try to do something not allowed because of how much they interact.
"When executing in the Normal Startup Mode, the TCS shall provide the system functionality necessary to
initialize the system to place it in the Operations State within 60 seconds from the time power is supplied
and the TCS application is launched.",The TCS starts up quickly and gets ready for use within 60 seconds of turning on the power.
"[SSS024]
Initialization of the TCS HWCIs shall include startup of HWCIs [SSS542], download of software
[SSS026], startup of CSCIs [SSS027], execution of Startup FD/L [SSS025], and establishment of the
state of readiness of all interfaces.","Start TCS HWCIs, download software, start CSCIs, run startup program, and get ready for use."
"[SSS029]
10
Recovery of the TCS HWCIs shall include startup of HWCIs [SSS543], download of software [SSS544],
startup of CSCIs [SSS545], and establishment of the state of readiness of all interfaces.","Start up HWCIs, download software, start up CSCIs, and get ready for use."
"[SSS546]
The TCS shall be capable of automatically recording system state data, interface communications and other
information necessary to support event reconstruction.","TCS can record system state, communication and needed info for event help."
"[SSS030]
For recovery from abnormal termination, TCS shall prompt the operator to select the type of recovery to be
executed: (1)Resume in the Same Modes And Data; (2)Resume in the Same Modes but Review and Modify
the Command Data as Necessary; or, (3) Perform a Command Shutdown and Startup Via the Normal
Startup Mode.","TCS will ask the operator to choose how to recover from an abnormal stop: resume with same settings, review and change data, or restart normally."
"[SSS032]
Figure 3.1.2-1 shows the Mode Diagram for the Operations State of TCS.",The diagram shows the mode for operating a train control system.
"[SSS035]
The TCS hardware and software shall execute periodic Fault Detection/Location (FD/L) while in the
Normal Operations Mode and Training Mode, to include a periodic determination of level of interaction.",Hardware and software will check for faults while working normally or during training.
In the Normal Operations Mode the TCS shall support the following functions: [SSS037],The TCS supports these functions in normal mode.
In the Training Operations Mode the TCS shall support the following functions: [SSS039],TCS supports these functions in Training Operations Mode.
"In the Maintenance Operations Mode, if computer workstation Human Computer Interface (HCI) is
required, the TCS shall support the following functions: [SSS041]",The TCS supports these functions in Maintenance Operations Mode.
"Upon the selection of a shutdown command the TCS shall enter the Shutdown State, which will cause the
TCS to be placed in a condition where power can be removed without impacting operations as well as
causing damage to the system, and from which restart of the system can be accomplished normally.",The TCS goes into shutdown mode when you choose it. This lets you turn off power safely without harming anything or making it hard to start again.
"[SSS043]
Shutdown of the TCS shall include storage as well as deletion, as specified by the operator, of mission data
files [SSS044], shutdown of appropriate functions [SSS045], shutdown of HCIs [SSS046], and proper
termination of all active interfaces [SSS047].","Shutdown includes storing and deleting files, stopping certain functions, shutting down computers, and ending connections."
"The TCS will provide the hardware and software necessary to allow the operator to conduct the following
major functions 1) mission planning, 2) mission control and monitoring, 3) payload product management,
4) targeting, and 5) C4I system interface.","TCS will provide what's needed for the operator to do main tasks like planning, controlling, managing, targeting, and connecting systems."
The TCS shall have the functionality to allow the operator to generate a UAV mission plan.,TCS can make a plan for a drone.
"[SSS053]
The TCS Mission plan shall include all necessary information required to be interoperable with the service
specific mission planning systems including the Tactical Aircraft Mission Planning System (TAMPS),
Aviation Mission Planning System (AMPS), and Air Force Mission Support System (AFMSS).",The plan must include all needed information to work with other planning systems.
"[SSS051]
The TCS shall have the functionality to transmit UAV mission plans to service specific mission planning
systems.",TCS sends UAV plans to special planning systems.
"The TCS shall be capable of storing a minimum of 500 mission plans under unique names to allow for later
retrieval.",TCS must store at least 500 plans with different names so they can be found again.
"[SSS058]
The TCS mission planning function shall provide a graphical user interface that gives the operator the
ability to define waypoints on a map based display using a pointing device with full keyset redundancy.",Give operator way points on map using mouse or keyboard.
"As an objective, the TCS shall have the capability to import as well as create and modify map display
overlays for fire support coordination measures [SSS547], airspace control measures [SSS548], and threat
identification measures.",TCS will be able to make maps with extra information for planning and identifying threats.
"[SSS060]
Upon completion of radar cross section analysis and characterization by the Government for each UAV
type, TCS shall utilize a UAV signature versus threat lookup table (database) that identities the lethality of
the threat to the UAV [SSS065], and shall provide the capability of displaying aircraft signature versus
threat, before and during flight.","After radar analysis, TCS will use a database to see how safe each drone is from threats and show this information before and during flights."
"[SSS067]
The TCS shall allow the operator to enter as well as review mission plan parameters, including AV flight
parameters, payload control parameters, data link control parameters, AV VCR control parameters (if
applicable to the selected AV), and AV loiter patterns.",TCS lets operators set and check mission plans.
"[SSS068]
The TCS shall provide the capability to enter system configuration characteristics in the mission plan, to
include selected AV type, AV identification number, selected payload type, ground control authorization
information, and required communications pre-set for data links, tactical communications, and C4I data
dissemination.",The TCS will let you enter system settings in the plan.
"[SSS069]
The TCS shall provide the system functionality necessary to upload a flight route plan and payload plan (if
applicable) to the AV via the selected system data link as well as direct ground connection.",TCS must send flight plans to AV through computer or cable.
"[SSS070]
TCS shall provide the capability for the operator to retrieve a mission plan for viewing, modification, as
well as deletion at the operator's discretion [SSS071], and allow the operator to save the mission plan under
a different name, for future retrieval [SSS072].","TCS lets operators view, change or delete a mission plan. They can also save it with a new name."
"The TCS shall automatically check the validity of the intended mission plan prior to being uploaded
including altitude constraints, payload constraints, data link range constraints, airspace restrictions, fuel
limitations, threat constraints, data link terrain masking effects, and Loss of Link (LOL) Plan.",TCS checks plan before uploading.
"[SSS074]
The TCS shall provide the capability to override validation faults after the fault is acknowledged by the
operator.",TCS can override validation faults once operator acknowledges them.
"[SSS540]
The TCS shall allow the operator to set the LOL delay timer(s) during mission planning.",TCS lets operator set timer for LOL delay during planning.
"[SSS075] The
LOL delay is the time from when the AV detects an unplanned LOL to the time it initiates LOL procedures.",The delay is time between detecting a surprise and starting to fix it.
"The Flight Route Plan, as a minimum, shall include AV flight path information, Loss of Link plan, AV
VCR control tasking (if applicable to the selected AV), and data link control information.","The plan must have flight route info, loss plan, control tasks, and data link info."
"[SSS079]
The TCS shall allow the operator to define the desired AV route in waypoint format [SSS551], and shall
provide the capability to include up to 500 waypoints in each flight route plan.",TCS lets operators choose a route with many stops.
"The TCS shall provide the capability of displaying overlays each containing 100 simultaneous icons of known fire support coordination zones [SSS549], airspace control zones [SSS550], threat systems [SSS061], and displaying the threat engagement envelopes with associated radar terrain masking for those threats [SSS062].","TCS will show many icons at once, including areas for fire support, air control, and threats."
A de-clutter capability shall be provided that allows the operator to display only a selected number of the most significant threats.,Show just the important threats.
"[SSS063]
The TCS shall provide the capability to modify the maximum number of threats displayed, when de-clutter is selected.",TCS can change how many threats are shown when you clear clutter.
"[SSS535]
Upon operator request, the following icons shall be displayed on the map display (when the coordinates reside on the displayed portion of the map).","Operator asks, show icons on map if they are there."
Display an icon indicating AV position when receiving downlink from the desired AV.,Show a symbol for where you are on TV when getting a signal from what you want to watch.
Display an icon indicating payload center field of view and footprint when receiving downlink from the desired AV.,Show a picture of where to look for the package.
"Display an icon, in variable sizes, indicating target position and type at coordinates selected by the operator.",Show a picture of where something is and what it is at a spot chosen by the person using it.
"Display an icon indicating Launch, Handover, and Recovery site (when applicable).","Show icons for launch, handover, and recovery sites when needed."
"For those payloads identified in Table 3-2, the TCS shall be able to generate payload planning information
to be uplinked to the AV separate from a flight route plan.",TCS must make plans for payloads and send them separately.
"[SSS103]
The TCS shall provide the system functionality necessary to generate a payload plan that, as a minimum,
shall include the following information: [SSS104]",TCS must give system what is needed to make a plan for sending things.
"**DELETED** [SSS105]
**DELETED** [SSS106]
**DELETED** [SSS107]",Nothing is deleted.
"While flying two MAE AVs Beyond Line Of Sight (BLOS), the TCS shall provide full control functionality of each AV.","While flying, the TCS will control both AVs."
"[SSS108]
AV specific components used to perform ground based closed loop command and control functions for TCS shall be initialized upon operator selection of a specific AV.",The AV's parts will start working when the operator chooses which one to use.
"[SSS109]
The TCS shall transmit command and control information to the AV via the uplink to the AV [SSS110], and receive AV telemetry and payload information via downlink from the AV [SSS111].",TCS sends commands to AV and gets data back.
"[SSS112]
TCS shall notify the operator when AV performance parameters are out of limits.",TCS will tell the operator if AV performance is bad.
"The TCS shall provide the capability to control the AV flight commands as well as to release the AV to an
autonomous flight control mode.",TCS will control AV flight commands and let it fly on its own.
"[SSS118]
AV telemetry data shall be available to support other TCS functions as required.",TCS needs AV telemetry data.
"[SSS121]
The TCS shall provide the capability to enter AV preset limits which, as a minimum, will include airspeed
limits, altitude limits, and fuel limits.","TCS must allow entering of speed, height, and fuel limits."
The TCS shall allow the operator to control an AV using the LOS as well as SATCOM data links.,TCS lets the operator control an AV with LOS and SATCOM links.
"[SSS125]
The TCS shall support operation of the AV via all flight modes, to include manual controls.","TCS supports AV operations in all flight modes, including manual control."
"[SSS126102]
The TCS shall provide the capability to implement an emergency action plan, if supported by the AV, to
control the AV during equipment failures.",TCS will help control AV in case of failure.
"[SSS539]
The TCS shall provide interactive displays necessary to command the flight of an AV.",TCS must show interactive screens for flying an airplane.
The TCS shall allow the operator to command the flight behavior characteristics inherent to the selected AV.,TCS lets the operator control how the plane flies.
"[SSS128]
The operator shall have the capability to initiate as well as change, to include as a minimum manual override, flight behaviors by sending the proper control commands to the UAV.",Operator can start or change flight controls and use manual override.
The TCS shall have the capability to command the AV to use the navigation methods inherent to the selected AV.,TCS can tell AV to use its own way of navigating.
"[SSS130]
The operator shall have the capability to initiate as well as change, to include as a minimum manual override, UAV navigation methods by sending the proper control commands to the UAV.",Operator can start or change UAV navigation using special commands.
"[SSS135]
As and objective, the TCS shall be interoperable with the Integrity Beacon Landing System (IBLS) [SSS136], and the Common Automated Recovery System (CARS) [SSS137], both used by Outrider.","TCS must work with IBLS and CARS, which are used by Outrider."
"As an objective, the TCS shall present sufficient cues to the operator to implement and monitor automatic launch and recovery, and to initiate abort procedures if required.","The TCS will give the operator enough clues to start and stop automatic launches and recoveries, and to stop them if needed."
"The TCS shall allow the operator to initiate the emergency recovery feature of the AV, if the AV has an
emergency recovery feature.",TCS lets the operator start emergency recovery if the AV can do it.
"[SSS140]
TCS shall provide the capability to monitor AV adherence to the uplinked mission plan, detecting any deviations greater than 10% from projected flight path, and notifying the operator if deviations are detected.",TCS will track how closely AV follows its planned route and alert the operator if it strays more than 10%.
"The TCS shall display the AV status, to include but not be limited to the AV location and flight and avionics system status.","TCS shows AV status, including where it is and its systems."
"[SSS143]
When the data link is interrupted, the TCS shall present the last known AV status values and the time at which the last values were reported.","Data link broken, show old AV status and when it was shown."
"[SSS144]
The TCS shall be capable of displaying fuel parameters to the operator to include as a minimum, remaining fuel, flow rate, and bingo fuel.","TCS shows fuel info to operator: remaining fuel, flow rate, bingo fuel."
[SSS145] Bingo fuel is the minimum amount of fuel necessary to return to the designated Recovery site with reserve fuel.,Bingo fuel is the least fuel needed to get back to a safe place with some extra fuel left over.
"[SSS147]
The TCS shall have the capability to receive data from and control payloads on an AV that is being controlled from another TCS.",TCS can get data and control things on a vehicle controlled by another TCS.
"[SSS149] Sequential communication means alternatively communicating with one air vehicle and then the
other.","Communicate with one plane, then another."
"The TCS shall receive, process, and present payload data to the operator so that the status of the payload can be determined.",TCS gets payload data and shows it to the operator.
The TCS shall permit the operator to control the payload using all methods supported by the payload installed in the selected AV.,The TCS lets the operator control the payload using its features.
"[SSS153]
The TCS shall provide override of payload automated as well as preprogrammed inputs.",TCS will give override for automatic and programmed inputs.
"[SSS158]
The TCS shall provide the system functionality necessary to record data obtained via the data link.",TCS must record data from the data link.
"The TCS shall be capable of interfacing with the specified data terminal and issuing data link terminal commands required to establish, control, and maintain the data link with a selected AV.","The system can connect to the right computer and send commands to set up, control, and keep a connection with an airplane."
"[SSS161]
As a minimum the TCS LOS data terminal control modes shall include acquisition, autotrack, search, manual point, omni directional, as well as directional modes of operation, if applicable to the selected data link.","The TCS LOS data terminal control modes must include acquisition, tracking, searching, and pointing modes."
"[SSS162]
The operator shall be able to manually override any automatic data terminal control mode selection if desired, except during Emission Control (EMCON) and Hazards of Electromagnetic Radiation to Ordnance (HERO) conditions.","Operator can change settings if wanted, but not during special situations."
"[SSS164]
For shipboard operations, the TCS shall provide the capability to switch to a second LOS antenna, if a second antenna is available, when desired (e.g.",TCS can switch to another LOS antenna if one is available and wanted.
"[SSS116]
The TCS shall provide the capability to switch to a SATellite COMmunication (SATCOM) antenna, if the selected AV has SATCOM capability, when desire (e.g.",TCS can switch to SATCOM antenna if AV has it and wants.
the AV proceeds beyond LOS range as well as when LOS is obstructed).,The AV goes beyond what it can see or if something blocks its view.
"The TCS shall provide automatic pointing commands for directional antennas [SSS167], and shall allow for the manual pointing of directional antennas when desired by the operator [SSS168].","TCS will give directions to point antennas automatically, or let the operator do it manually if they want."
The TCS shall be capable of positioning antennas to maintain LOS as well as SATCOM.,TCS can position antennas for good signals and satellite communication.
"[SSS170]
The TCS shall incorporate antenna pedestal 3 -axis stabilization to compensate for platform (e.g.",TCS will stabilize antenna with 3-axis movement.
"[SSS171]
The operator shall be able to manually override the automatic function selection of the selected data terminal, if desired.",Operator can choose manual option if wanted.
"[SSS173]
The operator shall be able to manually override the automatic mode selection of the selected data terminal, if desired.",Operator can choose manual mode if wanted.
"[SSS175]
The operator shall be able to manually override the automatic frequency selection if desired.",Operator can choose manual frequency selection if wanted.
"The TCS shall receive, process, and present status data to the operator so that the status of the data terminal and the supported AV data link can be monitored.","TCS gets data, checks it, and shows it to the operator so they can see what's happening with the terminal and the link."
"The TCS will have the functionality necessary to manage all aspects of payload product handling to include
receiving, processing, displaying, and performing limited exploitation.",TCS handles payload products from receiving to using.
"The TCS shall have the functionality to process payload product data from Electro Optical (EO), Infrared
(IR), and Synthetic Aperture Radar (SAR) payloads.","TCS can handle data from EO, IR, and SAR payloads."
"[SSS182] This functionality, as a minimum, shall
include: formatting, storing, internally routing, and recording the video [SSS190]; creating and storing a
freeze frame of the video [SSS191]; retrieving and displaying the video [SSS192]; printing a hard copy of
freeze frame video [SSS193]; and processing digital imagery for export and dissemination [SSS194].","This functionality includes formatting, storing, routing, recording, creating, retrieving, displaying, printing and exporting video."
The TCS shall be able to store up to 24 hours of payload data.,TCS can store 24 hours of data.
"The TCS shall be in compliance with Common Imagery Ground Surface Station (CIGSS), United States
Imagery Standards (USIS), Video Working Group Standards Architecture, National Imagery Transmission
Format (NITF) Version 2.0, and Global Command Control Systems (GCCS) when processing payload
imagery data.",The TCS must follow certain standards when processing images.
"[SSS185]
The NITF 2.0 imagery files generated by the TCS shall contain the necessary telemetry and support data to
permit subsequent imagery exploitation by C4I systems.",NITF 2.0 images will have needed information for computers to use them later.
"[SSS188]
Payload telemetry data shall be available to support other TCS functions as required.",TCS functions will have payload data when needed.
"[SSS195] Annotation includes operator generated comments as well as graphics
which are superimposed on the imagery.",Operator adds notes and pictures to images.
"Overlays consist of information obtained from external sources
that is selected by the operator for presentation with the imagery.",Operator chooses info from outside to show with pictures.
"The TCS shall provide the capability to simultaneously view imagery as well as data from more than one
payload, when applicable.",TCS will show images and data from multiple payloads at once if needed.
"[SSS537]
The TCS operator shall be able to select the content of the overlay information.",Operator can choose overlay content.
"The TCS shall have the functionality to conduct limited exploitation, to include voice and textual reporting
for spot and mission objectives, on the payload product data.",TCS can report spot and mission goals using voice or text.
"[SSS202]
The TCS shall have the capability to display Near-Real Time (NRT) imagery to include, as a minimum,
date/time group, target location coordinates when the target is in the center of the field of view, north
seeking arrow, and AV position and heading.","The TCS can show real-time images with date/time, target location, direction arrow, and its own position."
"The TCS shall support a target location function where the operator can request the current ground location
of the payload field-of-view center.",The TCS will show the operator the current location of what they are looking at.
"[SSS209] Network
interoperability will include, but not be limited to:
Advanced Tomahawk Weapons Control Station (ATWCS)
Advanced Field Artillery Tactical Data System (AFATDS)
All Source Analysis System (ASAS)
Automated Target Hand-off System (ATHS)
Closed Circuit Television (CCTV)
Common Operational Modeling, Planning, and Simulation Strategy (COMPASS)
Contingency Airborne Reconnaissance System (CARS)
Enhanced Tactical Radar Correlator (ETRAC)
Guardrail Common Sensor/Aerial Common Sensor (ACS) Integrated Processing Facility (IPF)
Intelligence Analysis System (IAS)
Joint Deployable Intelligence Support System (JDISS)
Joint Maritime Command Information System (JMCIS)
Joint Service Imagery Processing System – Air Force (JSIPS-AF)
Joint Service Imagery Processing System - Navy (JSIPS-N)
Joint Surveillance Target Attack Radar System (JSTARS) Ground Station Module/Common
Ground Station (GSM/CGS)
Modernized Imagery Exploitation System (MIES)
Service Specific Mission Planners
- Army Mission Planning System (AMPS)
- Air Force Mission Support System (AFMSS)
- Tactical Aircraft Mission Planning System (TAMPS)
Tactical Exploitation Group (TEG)
Tactical Exploitation Systeme (TES)
Theater Battle Management Core System (TBMCS)
TROJAN Special Purpose Integrated Remote Intelligence Terminal (SPIRIT) II
The TCS shall have the functionality necessary to manage all aspects of C4I system interfaces to include
receiving, processing, and transmitting tactical information to include but not limited to character based
text messages, NITF 2.0 imagery files, and RS-170A video.","Network interoperability includes ATWCS, AFATDS, ASAS, ATHS, CCTV, COMPASS, CARS, ETRAC, ACS, IPF, IAS, JDISS, JMCIS, JSIPS-AF, JSIPS-N, JSTARS, MIES, AMPS, AFMSS, TAMPS, TEG, TES, TBMCS, SPIRIT II."
"[SSS210] The TCS shall provide the functionality necessary to interface with various C4I systems in order to satisfy
the operational requirements for: [SSS211] 1.",TCS must connect to different computer systems.
Tasking TCS to plan and conduct a mission.,TCS plans the mission.
"Use of UAV obtained data (Non-real time tracks, tactical points and amplifying information) to
provide a C4I system with information that may be used by C4I system operators, for transmission
on tactical data communication links, and available to support engagement by appropriate weapons
systems.",UAV data is sent to a command center for use in making decisions and sharing with other systems.
"The TCS shall have the capability to interoperate with a data server to receive, extract, and push
intelligence data.",TCS can get data from a server.
"[SSS212]
The TCS shall have the capability to use cable to deliver live video imagery in multiple locations.",TCS can send live video pictures by cable to many places.
"[SSS213]
The TCS shall have the ability to interface with Service specific ground and airborne Ultra High Frequency
(UHF), Very High Frequency (VHF), UHF/VHF, and High Frequency (HF) radios for digital message
transmission while using the same radios for record traffic.",The TCS can connect with radios that use high frequency signals to send messages and keep records.
"Where applicable, TCS data burst messages shall comply with Variable Message Formats.",TCS data bursts follow message formats when needed.
"[SSS215]
The TCS shall export and disseminate formatted NITF 2.0 files [SSS558], digital imagery (if applicable)
[SSS218], RS-170A video (with as well as without overlay) [SSS219], and tactical communication
messages [SSS220].","The TCS will send out files, pictures, videos, and messages."
C4I Analog Interface Control Capability,Control interface for old computers.
"The TCS will have the functionality to process received C4I messages and to prepare C4I messages for
transmission.",TCS can process received messages and send new ones.
"Processing will include formatting, storing, routing, and display.","Processing includes formatting, storing, routing, and displaying."
"Create Tactical Communications Messages to include United States Message Text Format
(USMTF), Tactical Fire (TACFIRE), Over The Horizon Gold (OTH-Gold), and Intelligence and
Electronic Warfare Character Oriented Message Catalog (IEWCOMCAT) For Transmission
(specific message types will be identified in the all applicable TCS to C4I IDDs) [SSS230]
2. Review Incoming Tactical Communication Messages [SSS231]
3.","Create messages using USMTF, TACFIRE, OTH-Gold and IEWCOMCAT for transmission."
"Prepare Annotated as well as Un-annotated Digital Imagery For Transmission [SSS232]
4. Review Incoming Annotated as well as Un-annotated Digital Imagery [SSS233]
All digital messages received by the TCS shall be automatically checked for errors and corrected when
possible.",Check digital messages for mistakes and fix them if possible.
"[SSS234]
All erroneous messages that cannot be corrected by TCS shall be flagged to the operator.",Wrong messages can't be fixed will go to the person in charge.
Receive incoming annotated as well as un-annotated analog imagery [SSS238],Get images with or without notes.
"Monitor the status of all incoming and outgoing tactical communication messages [SSS241]
3. Review all tactical communication messages received and transmitted [SSS242]
4.",Check all messages coming in and going out.
"View incoming and outgoing, annotated as well as un-annotated analog imagery [SSS243]
5.",View pictures coming in and going out.
"View incoming and outgoing, annotated as well as un-annotated digital imagery messages [SSS244]",View digital images.
"Fault Detection/Location (FD/L) to the Line Replaceable Unit (LRU) level shall be provided to indicate the readiness status of TCS, if inherent to the COTS hardware and software utilized.",Fault detection/location will show when parts are ready for use.
